State,Latitude,Longitude,amountPerPupil
New York,40.7127753,-74.0059728,24040
Connecticut,41.6032207,-73.087749,20635
New Jersey,40.0583238,-74.4056612,20021
Alaska,64.2008413,-149.4936733,17726
Massachusetts,42.4072107,-71.3824374,17058
New Hampshire,43.1938516,-71.5723953,16893
Pennsylvania,41.2033216,-77.1945247,16395
Wyoming,43.0759678,-107.2902839,16224
Rhode Island,41.5800945,-71.4774291,16121
Illinois,40.6331249,-89.3985283,15741
Delaware,38.9108325,-75.5276699,15639
Hawaii,19.8967662,-155.5827818,15242
Maryland,39.0457549,-76.6412712,14762
Maine,45.253783,-69.4454689,14145
North Dakota,47.5514926,-101.0020119,13758
Ohio,40.4172871,-82.907123,13027
Washington,47.7510741,-120.7401385,12995
Minnesota,46.729553,-94.6858998,12975
California,36.778261,-119.4179324,12498
Nebraska,41.4925374,-99.9018131,12491
Michigan,44.3148443,-85.6023643,12345
Wisconsin,43.7844397,-88.7878678,12285
Virginia,37.4315734,-78.6568942,12216
Oregon,43.8041334,-120.5542012,11920
Iowa,41.8780025,-93.097702,11732
Montana,46.8796822,-110.3625658,11680
Kansas,39.011902,-98.4842465,11653
Louisiana,30.9842977,-91.9623327,11452
West Virginia,38.5976262,-80.4549026,11334
Kentucky,37.8393332,-84.2700179,11110
South Carolina,33.836081,-81.1637245,10856
Missouri,37.9642529,-91.8318334,10810
Georgia,32.1656221,-82.9000751,10810
Indiana,40.2671941,-86.1349019,10262
Colorado,39.5500507,-105.7820674,10202
Arkansas,35.20105,-91.8318334,10139
South Dakota,43.9695148,-99.9018131,10073
Alabama,32.3182314,-86.902298,9696
Texas,31.9685988,-99.9018131,9606
New Mexico,34.5199402,-105.8700901,9582
Tennessee,35.5174913,-86.5804473,9544
Nevada,38.8026097,-116.419389,9417
North Carolina,35.7595731,-79.0192997,9377
Florida,27.6648274,-81.5157535,9346
Vermont,44.5588028,-72.5778415,9340
Mississippi,32.3546679,-89.3985283,8935
Oklahoma,35.0077519,-97.092877,8239
Arizona,34.0489281,-111.0937311,8239
Idaho,44.0682019,-114.7420408,7771
Utah,39.3209801,-111.0937311,7628
