"Elementary and secondary public school expenditures as a percentage of gross domestic product, by state: 2000, 2005, and 2010",,,,,,,,,,,,
,Public school expenditures ($thousands),,,,,State GDP ($millions),,,,School expenditures/GDP (%),,
State,2000,2005,2010,,,2000,2005,2010,,2000,2005,2010
,,,,,,,,,,,,
United States,"323,808,910","424,562,096","525,497,899",,,"9,884,170","12,539,116","14,388,814",,3.28,3.39,3.65
Alabama,"4,176,082","5,164,406","6,670,517",,,"116,009","150,968","172,842",,3.60,3.42,3.86
Alaska,"1,183,499","1,442,269","2,084,019",,,"25,911","37,774","47,910",,4.57,3.82,4.35
Arizona,"4,262,182","6,451,870","8,587,889",*,,"161,792","222,569","247,329",,2.63,2.90,3.47
Arkansas,"2,380,331","3,546,999","4,459,910",*,,"68,335","88,501","103,170",,3.48,4.01,4.32
California,"38,129,479","50,918,654","58,248,662",*,,"1,319,472","1,688,949","1,845,249",,2.89,3.01,3.16
Colorado,"4,400,888","5,994,440","7,429,302",,,"172,037","217,329","254,551",,2.56,2.76,2.92
Connecticut,"5,402,868","7,080,396","8,853,337",*,,"163,455","196,307","221,767",,3.31,3.61,3.99
Delaware,"937,630","1,299,349","1,549,812",,,"40,614","54,422","62,832",,2.31,2.39,2.47
District of Columbia,"780,192","1,023,952","1,451,870",,,"58,267","82,488","103,745",,1.34,1.24,1.40
Florida,"13,885,988","19,042,877","23,349,314",*,,"481,239","681,225","727,972",,2.89,2.80,3.21
Georgia,"9,158,624","12,528,856","15,730,409",*,,"293,966","363,177","402,006",,3.12,3.45,3.91
Hawaii,"1,213,695","1,648,086","2,110,864",,,"41,450","56,901","67,274",,2.93,2.90,3.14
Idaho,"1,302,817","1,618,215","1,961,857",*,,"36,147","48,683","55,639",,3.60,3.32,3.53
Illinois,"14,462,773","18,658,428","24,695,773",*,,"474,520","568,114","642,769",,3.05,3.28,3.84
Indiana,"7,110,930","9,108,931","9,921,243",*,,"198,238","239,321","270,739",,3.59,3.81,3.66
Iowa,"3,264,336","3,808,200","4,794,308",,,"93,312","119,998","138,378",,3.50,3.17,3.46
Kansas,"2,971,814","3,718,153","4,731,676",,,"85,722","104,869","126,640",,3.47,3.55,3.74
Kentucky,"3,837,794","4,812,591","6,091,814",,,"113,233","138,772","161,064",,3.39,3.47,3.78
Louisiana,"4,391,214","5,554,766","7,393,452",*,,"131,289","196,917","227,373",,3.34,2.82,3.25
Maine,"1,604,438","2,056,266","2,356,312",*,,"36,438","45,520","51,343",,4.40,4.52,4.59
Maryland,"6,545,135","8,682,586","11,883,677",*,,"182,923","247,241","295,981",,3.58,3.51,4.02
